OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_20KM;FID_ne_50m_coastline_Test_Clip_Buffer20km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
751;4;4;-1;38;124
752;4;4;-1;38;103
753;4;4;-1;38;100
754;4;4;-1;38;95
755;4;4;-1;38;93
756;4;4;-1;38;97
757;4;4;-1;38;98
758;4;4;-1;38;92
759;4;4;-1;38;100
760;4;4;-1;38;96
761;4;4;-1;38;93
762;4;4;-1;38;96
763;4;4;-1;38;94
764;4;4;-1;38;93
765;4;4;-1;38;101
766;4;4;-1;38;100
767;4;4;-1;38;101
768;4;4;-1;38;101
769;4;4;-1;38;95
770;4;4;-1;38;100
771;4;4;-1;38;97
772;4;4;-1;38;96
773;4;4;-1;38;95
774;4;4;-1;38;106
775;4;4;-1;38;106
776;4;4;-1;38;104
777;4;4;-1;38;93
778;4;4;-1;38;94
779;4;4;-1;38;88
780;4;4;-1;38;93
781;4;4;-1;38;95
782;4;4;-1;38;102
783;4;4;-1;38;143
784;4;4;-1;38;143
785;4;4;-1;38;156
786;4;4;-1;38;202
787;4;4;-1;38;205
788;4;4;-1;38;172
789;4;4;-1;38;113
790;4;4;-1;38;109
791;4;4;-1;38;99
792;4;4;-1;38;88
793;4;4;-1;38;58
794;4;4;-1;38;40
795;4;4;-1;38;41
796;4;4;-1;38;85
797;4;4;-1;38;83
798;4;4;-1;38;59
799;4;4;-1;38;38
800;4;4;-1;38;34
801;4;4;-1;38;40
802;4;4;-1;38;90
803;4;4;-1;38;50
804;4;4;-1;38;38
805;4;4;-1;38;30
806;4;4;-1;38;23
807;4;4;-1;38;21
808;4;4;-1;38;22
809;4;4;-1;38;20
810;4;4;-1;38;51
811;4;4;-1;38;66
812;4;4;-1;38;49
813;4;4;-1;38;51
814;4;4;-1;38;58
815;4;4;-1;38;52
816;4;4;-1;38;32
817;4;4;-1;38;23
818;4;4;-1;38;24
819;4;4;-1;38;36
820;4;4;-1;38;26
821;4;4;-1;38;30
822;4;4;-1;38;39
823;4;4;-1;38;30
824;4;4;-1;38;27
825;4;4;-1;38;119
826;4;4;-1;38;178
827;4;4;-1;38;174
828;4;4;-1;38;120
829;4;4;-1;38;197
830;4;4;-1;38;185
831;4;4;-1;38;140
832;4;4;-1;38;68
833;4;4;-1;38;47
834;4;4;-1;38;43
835;4;4;-1;38;50
836;4;4;-1;38;83
837;4;4;-1;38;243
838;4;4;-1;38;292
839;4;4;-1;38;303
840;4;4;-1;38;226
841;4;4;-1;38;216
842;4;4;-1;38;234
843;4;4;-1;38;145
844;4;4;-1;38;138
845;4;4;-1;38;140
846;4;4;-1;38;120
847;4;4;-1;38;95
848;4;4;-1;38;95
849;4;4;-1;38;63
850;4;4;-1;38;59
851;4;4;-1;38;72
852;4;4;-1;38;76
853;4;4;-1;38;86
854;4;4;-1;38;103
855;4;4;-1;38;154
856;4;4;-1;38;121
857;4;4;-1;38;121
858;4;4;-1;38;115
859;4;4;-1;38;128
860;4;4;-1;38;172
861;4;4;-1;38;271
862;4;4;-1;38;260
863;4;4;-1;38;209
864;4;4;-1;38;163
865;4;4;-1;38;174
866;4;4;-1;38;196
867;4;4;-1;38;138
868;4;4;-1;38;42
869;4;4;-1;38;38
870;4;4;-1;38;36
871;4;4;-1;38;39
872;4;4;-1;38;50
873;4;4;-1;38;44
874;4;4;-1;38;47
875;4;4;-1;38;42
876;4;4;-1;38;36
877;4;4;-1;38;41
878;4;4;-1;38;48
879;4;4;-1;38;52
880;4;4;-1;38;46
881;4;4;-1;38;48
882;4;4;-1;38;75
883;4;4;-1;38;111
884;4;4;-1;38;109
885;4;4;-1;38;137
886;4;4;-1;38;106
887;4;4;-1;38;162
888;4;4;-1;38;122
889;4;4;-1;38;112
890;4;4;-1;38;123
891;4;4;-1;38;138
892;4;4;-1;38;130
893;4;4;-1;38;149
894;4;4;-1;38;189
895;4;4;-1;38;160
896;4;4;-1;38;168
897;4;4;-1;38;177
898;4;4;-1;38;190
899;4;4;-1;38;163
900;4;4;-1;38;108
901;4;4;-1;38;105
902;4;4;-1;38;130
903;4;4;-1;38;202
904;4;4;-1;38;161
905;4;4;-1;38;130
906;4;4;-1;38;103
907;4;4;-1;38;120
908;4;4;-1;38;93
909;4;4;-1;38;88
910;4;4;-1;38;78
911;4;4;-1;38;68
912;4;4;-1;38;59
913;4;4;-1;38;78
914;4;4;-1;38;81
915;4;4;-1;38;84
916;4;4;-1;38;94
917;4;4;-1;38;91
918;4;4;-1;38;103
