OID_;id;id_cs;ate_avg;ate_min;ate_max;ate_stdev;GlobSedv2_Clip_ProjectRaster
2622;24854;128158;-268,899999999999977;-264,800000000000011;-273,000000000000000;4,100000000000000;
2623;24855;128160;-171,800000000000011;-171,800000000000011;-171,800000000000011;0,000000000000000;
2624;24856;128162;-96,200000000000003;-8,300000000000001;-287,199999999999989;114,530000000000001;1209,8255615
2625;24857;128163;-299,199999999999989;-285,399999999999977;-313,000000000000000;13,800000000000001;
2626;24858;128167;-143,150000000000006;-138,699999999999989;-147,599999999999994;4,450000000000000;
2627;24859;128170;-41,750000000000000;-9,000000000000000;-74,500000000000000;32,750000000000000;
2628;24860;128171;-37,560000000000002;-10,100000000000000;-97,700000000000003;28,460000000000001;
2629;24861;128172;-44,799999999999997;-38,299999999999997;-51,299999999999997;6,500000000000000;
2630;24862;128173;-87,590000000000003;0,500000000000000;-235,800000000000011;76,049999999999997;
2631;24863;128174;-18,699999999999999;6,000000000000000;-38,799999999999997;18,579999999999998;
2632;24864;128175;-20,730000000000000;-13,300000000000001;-33,799999999999997;9,270000000000000;
2633;24865;128176;-30,230000000000000;3,900000000000000;-88,799999999999997;30,730000000000000;
2634;24866;128177;-87,900000000000006;-32,600000000000001;-143,199999999999989;55,299999999999997;
2635;24867;128178;-39,299999999999997;-22,300000000000001;-49,700000000000003;12,119999999999999;
2636;24868;128180;-66,530000000000001;-38,700000000000003;-110,500000000000000;27,949999999999999;1199,7490234
2637;24869;128183;-116,000000000000000;-73,599999999999994;-193,300000000000011;54,750000000000000;1195,8508301
2638;24870;128184;-73,790000000000006;-49,799999999999997;-113,299999999999997;20,829999999999998;1194,9974365
2639;24871;128185;-58,850000000000001;-54,700000000000003;-63,000000000000000;4,150000000000000;1193,9815674
2640;24872;128186;-70,129999999999995;-42,200000000000003;-108,799999999999997;25,829999999999998;
2641;24873;128187;-73,700000000000003;-35,100000000000001;-94,099999999999994;21,620000000000001;
2642;24874;128188;-85,739999999999995;-79,200000000000003;-102,400000000000006;8,830000000000000;
2643;24875;128190;-72,950000000000003;-72,000000000000000;-73,900000000000006;0,950000000000000;
2644;24876;128197;-138,500000000000000;-138,500000000000000;-138,500000000000000;0,000000000000000;
2645;24877;128198;-191,030000000000001;-43,000000000000000;-292,399999999999977;107,030000000000001;
