OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_10KM;FID_ne_50m_coastline_Test_Clip_Bufffer10km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
641;15;10;-1;38;12
642;15;10;-1;38;9
643;15;10;-1;38;4
644;15;10;-1;38;9
645;15;10;-1;38;6
646;15;10;-1;38;6
647;15;10;-1;38;12
648;15;10;-1;38;1
649;15;10;-1;38;7
650;15;10;-1;38;0
651;15;10;-1;38;8
652;15;10;-1;38;16
653;15;10;-1;38;2
654;15;10;-1;38;0
655;15;10;-1;38;41
656;15;10;-1;38;7
657;15;10;-1;38;5
658;15;10;-1;38;4
659;15;10;-1;38;7
660;15;10;-1;38;0
661;15;10;-1;38;13
662;15;10;-1;38;4
663;15;10;-1;38;8
664;15;10;-1;38;5
665;15;10;-1;38;16
666;15;10;-1;38;70
667;15;10;-1;38;26
668;15;10;-1;38;0
669;15;10;-1;38;40
670;15;10;-1;38;88
671;15;10;-1;38;113
672;15;10;-1;38;41
673;15;10;-1;38;29
674;15;10;-1;38;106
675;15;10;-1;38;120
676;15;10;-1;38;155
677;15;10;-1;38;185
678;15;10;-1;38;100
679;15;10;-1;38;96
680;15;10;-1;38;98
681;15;10;-1;38;33
682;15;10;-1;38;35
683;15;10;-1;38;73
684;15;10;-1;38;44
685;15;10;-1;38;104
686;15;10;-1;38;75
687;15;10;-1;38;2
688;15;10;-1;38;55
689;15;10;-1;38;76
690;15;10;-1;38;25
691;15;10;-1;38;8
692;15;10;-1;38;115
693;15;10;-1;38;77
694;15;10;-1;38;176
695;15;10;-1;38;159
696;15;10;-1;38;17
697;15;10;-1;38;116
698;15;10;-1;38;151
699;15;10;-1;38;152
700;15;10;-1;38;109
701;15;10;-1;38;158
702;15;10;-1;38;243
703;15;10;-1;38;30
704;15;10;-1;38;20
705;15;10;-1;38;52
706;15;10;-1;38;64
707;15;10;-1;38;35
708;15;10;-1;38;67
709;15;10;-1;38;96
710;15;10;-1;38;91
711;15;10;-1;38;107
712;15;10;-1;38;109
713;15;10;-1;38;119
714;15;10;-1;38;128
715;15;10;-1;38;107
716;15;10;-1;38;73
717;15;10;-1;38;65
718;15;10;-1;38;34
719;15;10;-1;38;42
720;15;10;-1;38;69
721;15;10;-1;38;173
722;15;10;-1;38;118
723;15;10;-1;38;148
724;15;10;-1;38;56
725;15;10;-1;38;48
726;15;10;-1;38;35
727;15;10;-1;38;44
728;15;10;-1;38;32
729;15;10;-1;38;58
730;15;10;-1;38;64
731;15;10;-1;38;73
732;15;10;-1;38;55
733;15;10;-1;38;49
734;15;10;-1;38;38
735;15;10;-1;38;59
736;15;10;-1;38;63
737;15;10;-1;38;89
738;15;10;-1;38;61
739;15;10;-1;38;73
740;15;10;-1;38;60
741;15;10;-1;38;79
742;15;10;-1;38;74
743;15;10;-1;38;99
744;15;10;-1;38;17
745;15;10;-1;38;30
746;15;10;-1;38;36
747;15;10;-1;38;50
748;15;10;-1;38;42
749;15;10;-1;38;33
750;15;10;-1;38;29
751;15;10;-1;38;23
752;15;10;-1;38;22
753;15;10;-1;38;21
754;15;10;-1;38;22
755;15;10;-1;38;39
756;15;10;-1;38;25
757;15;10;-1;38;30
758;15;10;-1;38;26
759;15;10;-1;38;22
760;15;10;-1;38;25
761;15;10;-1;38;27
762;15;10;-1;38;24
763;15;10;-1;38;28
764;15;10;-1;38;32
765;15;10;-1;38;24
766;15;10;-1;38;29
767;15;10;-1;38;25
768;15;10;-1;38;29
769;15;10;-1;38;19
770;15;10;-1;38;18
771;15;10;-1;38;21
772;15;10;-1;38;120
773;15;10;-1;38;123
774;15;10;-1;38;118
775;15;10;-1;38;119
776;15;10;-1;38;178
777;15;10;-1;38;108
778;15;10;-1;38;105
779;15;10;-1;38;94
780;15;10;-1;38;102
781;15;10;-1;38;96
782;15;10;-1;38;92
783;15;10;-1;38;94
784;15;10;-1;38;54
785;15;10;-1;38;64
786;15;10;-1;38;72
787;15;10;-1;38;47
788;15;10;-1;38;7
789;15;10;-1;38;23
790;15;10;-1;38;63
791;15;10;-1;38;62
792;15;10;-1;38;29
793;15;10;-1;38;27
794;15;10;-1;38;0
795;15;10;-1;38;12
796;15;10;-1;38;131
797;15;10;-1;38;243
798;15;10;-1;38;88
799;15;10;-1;38;49
800;15;10;-1;38;84
801;15;10;-1;38;63
802;15;10;-1;38;27
803;15;10;-1;38;14
804;15;10;-1;38;45
805;15;10;-1;38;48
806;15;10;-1;38;45
807;15;10;-1;38;38
808;15;10;-1;38;15
809;15;10;-1;38;26
810;15;10;-1;38;76
811;15;10;-1;38;195
812;15;10;-1;38;105
813;15;10;-1;38;61
814;15;10;-1;38;44
815;15;10;-1;38;59
816;15;10;-1;38;102
817;15;10;-1;38;107
818;15;10;-1;38;104
819;15;10;-1;38;42
820;15;10;-1;38;70
821;15;10;-1;38;8
822;15;10;-1;38;54
823;15;10;-1;38;69
824;15;10;-1;38;91
825;15;10;-1;38;98
826;15;10;-1;38;28
827;15;10;-1;38;42
828;15;10;-1;38;40
829;15;10;-1;38;50
830;15;10;-1;38;58
831;15;10;-1;38;68
832;15;10;-1;38;54
833;15;10;-1;38;71
834;15;10;-1;38;76
835;15;10;-1;38;85
836;15;10;-1;38;90
837;15;10;-1;38;96
838;15;10;-1;38;105
839;15;10;-1;38;75
840;15;10;-1;38;99
841;15;10;-1;38;102
842;15;10;-1;38;110
843;15;10;-1;38;61
844;15;10;-1;38;23
845;15;10;-1;38;38
846;15;10;-1;38;54
847;15;10;-1;38;75
848;15;10;-1;38;74
849;15;10;-1;38;59
850;15;10;-1;38;40
851;15;10;-1;38;48
852;15;10;-1;38;64
853;15;10;-1;38;52
854;15;10;-1;38;37
855;15;10;-1;38;61
856;15;10;-1;38;59
857;15;10;-1;38;59
858;15;10;-1;38;51
859;15;10;-1;38;56
860;15;10;-1;38;29
861;15;10;-1;38;42
862;15;10;-1;38;79
863;15;10;-1;38;108
864;15;10;-1;38;113
865;15;10;-1;38;111
866;15;10;-1;38;76
867;15;10;-1;38;32
868;15;10;-1;38;44
869;15;10;-1;38;75
870;15;10;-1;38;78
871;15;10;-1;38;98
872;15;10;-1;38;69
873;15;10;-1;38;83
874;15;10;-1;38;54
875;15;10;-1;38;41
876;15;10;-1;38;38
877;15;10;-1;38;31
878;15;10;-1;38;99
879;15;10;-1;38;92
880;15;10;-1;38;42
881;15;10;-1;38;43
882;15;10;-1;38;37
883;15;10;-1;38;45
884;15;10;-1;38;73
885;15;10;-1;38;79
886;15;10;-1;38;73
887;15;10;-1;38;80
888;15;10;-1;38;78
889;15;10;-1;38;71
890;15;10;-1;38;67
891;15;10;-1;38;71
892;15;10;-1;38;75
893;15;10;-1;38;64
894;15;10;-1;38;79
895;15;10;-1;38;82
896;15;10;-1;38;82
897;15;10;-1;38;77
898;15;10;-1;38;80
899;15;10;-1;38;75
900;15;10;-1;38;72
901;15;10;-1;38;70
902;15;10;-1;38;71
903;15;10;-1;38;70
904;15;10;-1;38;67
905;15;10;-1;38;94
906;15;10;-1;38;59
907;15;10;-1;38;42
908;15;10;-1;38;55
909;15;10;-1;38;62
910;15;10;-1;38;60
911;15;10;-1;38;66
912;15;10;-1;38;75
913;15;10;-1;38;68
914;15;10;-1;38;38
915;15;10;-1;38;40
916;15;10;-1;38;40
917;15;10;-1;38;39
918;15;10;-1;38;34
919;15;10;-1;38;29
920;15;10;-1;38;27
921;15;10;-1;38;95
922;15;10;-1;38;127
923;15;10;-1;38;41
924;15;10;-1;38;39
925;15;10;-1;38;64
926;15;10;-1;38;75
927;15;10;-1;38;39
928;15;10;-1;38;24
929;15;10;-1;38;40
930;15;10;-1;38;32
931;15;10;-1;38;89
932;15;10;-1;38;115
933;15;10;-1;38;51
934;15;10;-1;38;36
935;15;10;-1;38;36
936;15;10;-1;38;42
937;15;10;-1;38;68
938;15;10;-1;38;50
939;15;10;-1;38;19
940;15;10;-1;38;55
941;15;10;-1;38;79
942;15;10;-1;38;67
943;15;10;-1;38;13
944;15;10;-1;38;17
945;15;10;-1;38;22
946;15;10;-1;38;30
947;15;10;-1;38;16
948;15;10;-1;38;33
949;15;10;-1;38;21
950;15;10;-1;38;44
951;15;10;-1;38;57
952;15;10;-1;38;136
953;15;10;-1;38;145
954;15;10;-1;38;133
955;15;10;-1;38;122
956;15;10;-1;38;90
957;15;10;-1;38;26
958;15;10;-1;38;99
959;15;10;-1;38;90
960;15;10;-1;38;33
961;15;10;-1;38;39
962;15;10;-1;38;17
963;15;10;-1;38;26
964;15;10;-1;38;32
